parentUUID,rawTitle,cleanTitle,totalHoursWatched,imdbMatchedTitle,imdbMatchConfidence,imdbLink,imdbGenres,imdbType,imdbUserRating,imdbNumRatings,directorCount,writerCount,castCount,producerCount,composerCount,cinematographerCount,editorCount,castingDirectorCount,artDirectorCount,setDecoratorCount,costumeDesignerCount,makeUpDepartmentCount,productionManagerCount,assistantDirectorCount,artDepartmentCount,soundDepartmentCount,stuntsCount,cameraDepartmentCount,costumeDepartmentCount,editorialDepartmentCount,musicDepartmentCount,scriptDepartmentCount,miscellaneousCrewCount
c0d5e72c-9be9-4a0b-9a5c-0e4895ea0794,The Daily Life of the Immortal King // 仙王的日常生活,The Daily Life of the Immortal King,7200000,The Daily Life of the Immortal King,100,https://www.imdb.com/title/tt11755260/,"Animation, Action, Adventure",TV Series,7.2,2.3K,2,1,58,,,,,,,,,,,,,3,,,,,,,
4f32060e-f395-49e7-b91c-5138f0148e0a,Tayo The Little Bus: Season 4 // 꼬마버스 타요: 시즌4,Tayo The Little Bus,9500000,Tayo the Little Bus,100,https://www.imdb.com/title/tt3270208/,"Animation, Comedy, Family",TV Series,5.3,187,1,,54,,,,,,,,,,1,2,,5,,,,,,,
919e7a89-5c86-4bc2-940c-7075bd298ad5,D.B. Cooper: Where Are You?!: Limited Series,D.B. Cooper: Where Are You?!: Limited Series,5400000,D.B. Cooper: Where Are You?!,82.14,https://www.imdb.com/title/tt21063148/,"Documentary, Crime, History",TV Mini Series,5.4,3.3K,1,,45,16,1,1,4,,,,1,1,8,,1,7,,3,,8,9,,8
5a9685ea-ba7f-4b22-b36c-a175451744b2,Back to 15: Season 1 // De Volta aos 15: Temporada 1,Back to 15,5400000,Back at 15,80,https://www.imdb.com/title/tt15301854/,"Comedy, Drama",TV Series,6.8,1.3K,5,17,38,14,3,1,5,1,1,,,3,10,10,7,26,2,18,,17,4,3,18
18c1a081-0018-4a14-bea5-4aca547b32d7,In My Dreams,In My Dreams,5400000,In My Dreams,100,https://www.imdb.com/title/tt3347518/,"Drama, Family, Romance",TV Movie,6.3,5.8K,1,2,33,5,2,1,1,1,,1,1,1,1,4,15,7,,11,3,3,15,,11
4186f856-63b8-485e-aa68-54400a1d1fc7,Fast & Furious Spy Racers: Season 6: Homecoming,Fast & Furious Spy Racers,17400000,Fast & Furious Spy Racers,100,https://www.imdb.com/title/tt8322592/,"Animation, Action, Adventure",TV Series,5.9,1.7K,5,15,46,12,2,,,2,3,,,,3,1,42,11,,,,10,20,3,27
a64508c4-d402-4d83-986c-98a989a2753f,Justice Served: Season 1,Justice Served,5400000,Justice Served,100,https://www.imdb.com/title/tt21195532/,"Crime, Drama, Thriller",TV Series,5.2,599,3,3,19,5,1,1,3,,,,1,2,,2,,7,,5,1,6,3,,2
6209f9c8-01e7-465e-9a7c-8a5a142f6c34,Tattoo Redo: Season 1,Tattoo Redo,5400000,Tattoo Redo,100,https://www.imdb.com/title/tt14956090/,Reality-TV,TV Series,5.9,944,,,8,6,,,6,,,,,,,,,1,,1,,,1,,3
cf636791-4399-4a40-a6bd-e8339f5d1615,Terrorism Close Calls: Season 1,Terrorism Close Calls,5400000,Terrorism Close Calls,100,https://www.imdb.com/title/tt6775816/,Documentary,TV Series,5.2,843,3,1,6,4,,3,1,,,,,,,,,1,,1,,1,9,,1
68d30a5a-f3bd-4d49-b179-afd987850126,The Parkers: Season 4,The Parkers,24100000,The Parkers,100,https://www.imdb.com/title/tt0200353/,Comedy,TV Series,6.9,2.6K,15,49,493,14,1,2,3,4,1,1,1,15,3,5,9,7,7,8,10,3,9,4,29
